b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.359	0.706	0.4	0.243	0.361	0.384	0.136	0.099	0.199	0.057	0.058	0.038	0.031	0.032	2.903	5.961	3.179	1.933	2.844	3.023	1.07
0.362	0.707	0.4	0.243	0.363	0.38	0.136	0.098	0.2	0.058	0.059	0.038	0.031	0.032	2.929	5.967	3.178	1.935	2.861	2.992	1.07
0.354	0.709	0.402	0.238	0.363	0.382	0.137	0.098	0.2	0.058	0.06	0.037	0.032	0.032	2.868	5.991	3.201	1.898	2.859	3.006	1.074
0.36	0.711	0.401	0.238	0.363	0.382	0.137	0.098	0.201	0.057	0.059	0.037	0.031	0.032	2.917	6.004	3.191	1.898	2.866	3	1.075
0.359	0.708	0.402	0.236	0.366	0.381	0.136	0.098	0.202	0.058	0.06	0.037	0.031	0.032	2.907	5.985	3.199	1.876	2.887	2.994	1.07
0.354	0.707	0.404	0.234	0.366	0.38	0.135	0.097	0.203	0.058	0.06	0.037	0.032	0.033	2.865	5.98	3.215	1.867	2.888	2.986	1.066
0.354	0.707	0.404	0.234	0.366	0.38	0.135	0.097	0.203	0.058	0.06	0.037	0.032	0.033	2.865	5.98	3.215	1.867	2.888	2.986	1.066
0.341	0.716	0.401	0.234	0.368	0.38	0.136	0.098	0.202	0.058	0.061	0.038	0.032	0.033	2.763	6.048	3.194	1.863	2.904	2.987	1.071
0.351	0.708	0.404	0.234	0.367	0.38	0.137	0.097	0.202	0.058	0.061	0.038	0.032	0.033	2.838	5.985	3.213	1.861	2.894	2.989	1.074
0.351	0.708	0.404	0.234	0.367	0.38	0.137	0.097	0.202	0.058	0.061	0.038	0.032	0.033	2.838	5.985	3.213	1.861	2.894	2.989	1.074
0.35	0.715	0.402	0.23	0.364	0.381	0.136	0.097	0.202	0.057	0.061	0.038	0.032	0.033	2.833	6.043	3.197	1.834	2.874	2.999	1.073
0.35	0.715	0.402	0.23	0.364	0.381	0.136	0.097	0.202	0.057	0.061	0.038	0.032	0.033	2.833	6.043	3.197	1.834	2.874	2.999	1.073
0.343	0.725	0.395	0.23	0.368	0.379	0.135	0.099	0.199	0.058	0.062	0.039	0.032	0.033	2.777	6.121	3.144	1.836	2.9	2.98	1.06
0.35	0.724	0.394	0.229	0.369	0.382	0.135	0.097	0.198	0.057	0.062	0.038	0.032	0.033	2.832	6.107	3.136	1.827	2.907	3.006	1.063
0.353	0.72	0.397	0.228	0.37	0.382	0.135	0.098	0.2	0.057	0.062	0.039	0.032	0.033	2.856	6.078	3.154	1.813	2.918	3.008	1.06
0.35	0.728	0.39	0.228	0.371	0.382	0.134	0.098	0.2	0.057	0.062	0.039	0.032	0.033	2.834	6.148	3.103	1.818	2.93	3.002	1.058
0.35	0.728	0.39	0.228	0.371	0.382	0.134	0.098	0.2	0.057	0.062	0.039	0.032	0.033	2.834	6.148	3.103	1.818	2.93	3.002	1.058
0.346	0.732	0.391	0.229	0.369	0.384	0.133	0.099	0.2	0.056	0.062	0.037	0.031	0.032	2.805	6.177	3.106	1.826	2.908	3.019	1.049
0.326	0.744	0.391	0.232	0.368	0.385	0.135	0.098	0.199	0.056	0.061	0.038	0.03	0.032	2.638	6.28	3.111	1.848	2.903	3.028	1.063
0.33	0.736	0.4	0.23	0.369	0.382	0.134	0.097	0.198	0.056	0.061	0.037	0.031	0.032	2.667	6.21	3.181	1.832	2.911	3.001	1.056
0.336	0.736	0.394	0.231	0.369	0.385	0.136	0.099	0.198	0.056	0.06	0.038	0.031	0.032	2.719	6.21	3.132	1.837	2.91	3.025	1.067
0.33	0.727	0.399	0.238	0.367	0.382	0.135	0.099	0.197	0.057	0.059	0.037	0.031	0.032	2.674	6.137	3.174	1.895	2.891	3.003	1.059
0.33	0.727	0.399	0.238	0.367	0.382	0.135	0.099	0.197	0.057	0.059	0.037	0.031	0.032	2.674	6.137	3.174	1.895	2.891	3.003	1.059
0.335	0.732	0.4	0.236	0.365	0.382	0.134	0.099	0.197	0.056	0.06	0.036	0.03	0.032	2.71	6.176	3.177	1.879	2.878	3.001	1.052
0.337	0.731	0.399	0.237	0.365	0.382	0.134	0.099	0.197	0.056	0.059	0.036	0.03	0.031	2.73	6.17	3.17	1.888	2.88	3.002	1.053
0.336	0.732	0.399	0.237	0.368	0.379	0.134	0.098	0.197	0.056	0.059	0.036	0.03	0.032	2.72	6.174	3.169	1.886	2.897	2.982	1.052
0.33	0.736	0.398	0.235	0.367	0.382	0.133	0.099	0.198	0.056	0.06	0.037	0.031	0.032	2.674	6.213	3.161	1.871	2.892	3	1.044
